SENSOR ID,DATE TIME,VALUE STANDARDIZED
114,2020-07-01 00:16:37,99.99
116,2020-07-01 00:16:37,-17.66
117,2020-07-01 00:16:37,-17.00
118,2020-07-01 00:16:37,99.99
115,2020-07-01 00:16:37,-18.66
101,2020-07-01 00:18:59,-18.00
102,2020-07-01 00:18:59,-16.11
103,2020-07-01 00:18:59,-16.66
104,2020-07-01 00:18:59,99.99
109,2020-07-01 00:18:59,-16.11
105,2020-07-01 00:18:59,-17.66
106,2020-07-01 00:18:59,-17.33
107,2020-07-01 00:18:59,-17.77
108,2020-07-01 00:18:59,-17.44
110,2020-07-01 00:18:59,-16.77
111,2020-07-01 00:18:59,-17.88
112,2020-07-01 00:18:59,-18.11
113,2020-07-01 00:18:59,-17.66
114,2020-07-01 00:18:59,99.99
115,2020-07-01 00:18:59,-17.33
116,2020-07-01 00:18:59,-16.33
117,2020-07-01 00:18:59,-17.55
118,2020-07-01 00:18:59,-18.88
101,2020-07-01 00:21:23,-18.44
102,2020-07-01 00:21:23,-16.44
103,2020-07-01 00:21:23,-16.88
104,2020-07-01 00:21:23,99.99
109,2020-07-01 00:21:23,-16.44
105,2020-07-01 00:21:23,-17.99
106,2020-07-01 00:21:23,-17.55
107,2020-07-01 00:21:23,-17.88
108,2020-07-01 00:21:23,-17.66
110,2020-07-01 00:21:23,-15.00
111,2020-07-01 00:21:23,-16.11
112,2020-07-01 00:21:23,-18.44
113,2020-07-01 00:21:23,-17.88
114,2020-07-01 00:21:23,99.99
115,2020-07-01 00:21:23,-17.55
116,2020-07-01 00:21:23,-16.66
117,2020-07-01 00:21:23,-17.88
118,2020-07-01 00:21:23,99.99
101,2020-07-01 00:22:54,-17.33
102,2020-07-01 00:22:54,-16.44
103,2020-07-01 00:22:54,-16.77
104,2020-07-01 00:22:54,99.99
105,2020-07-01 00:22:54,-17.99
106,2020-07-01 00:22:54,-17.55
107,2020-07-01 00:22:54,-17.99
108,2020-07-01 00:22:54,-17.77
113,2020-07-01 00:22:54,-17.77
109,2020-07-01 00:22:54,-16.33
110,2020-07-01 00:22:54,-16.88
111,2020-07-01 00:22:54,-16.11
112,2020-07-01 00:22:54,-17.11
114,2020-07-01 00:22:54,99.99
115,2020-07-01 00:22:54,-17.88
116,2020-07-01 00:22:54,-16.44
117,2020-07-01 00:22:54,-17.88
118,2020-07-01 00:22:54,99.99
101,2020-07-01 00:24:25,-17.99
102,2020-07-01 00:24:25,-16.66
104,2020-07-01 00:24:25,99.99
103,2020-07-01 00:24:25,-16.99
105,2020-07-01 00:24:25,-16.22
106,2020-07-01 00:24:25,-17.77
107,2020-07-01 00:24:25,-17.99
108,2020-07-01 00:24:25,-17.88
109,2020-07-01 00:24:25,-16.33
110,2020-07-01 00:24:25,-16.99
111,2020-07-01 00:24:25,-16.33
113,2020-07-01 00:24:25,-17.99
112,2020-07-01 00:24:25,-17.66
115,2020-07-01 00:24:25,-16.22
114,2020-07-01 00:24:25,99.99
116,2020-07-01 00:24:25,-16.66
117,2020-07-01 00:24:25,-17.99
118,2020-07-01 00:24:25,-17.55
101,2020-07-01 00:26:38,-17.88
102,2020-07-01 00:26:38,-16.66
103,2020-07-01 00:26:38,-16.99
104,2020-07-01 00:26:38,99.99
109,2020-07-01 00:26:38,-16.44
105,2020-07-01 00:26:38,-16.33
106,2020-07-01 00:26:38,-17.66
107,2020-07-01 00:26:38,-16.00
108,2020-07-01 00:26:38,-17.99
110,2020-07-01 00:26:38,-16.99
111,2020-07-01 00:26:38,-16.33
112,2020-07-01 00:26:38,-17.11
113,2020-07-01 00:26:38,-17.99
114,2020-07-01 00:26:38,99.99
115,2020-07-01 00:26:38,-17.99
116,2020-07-01 00:26:38,-16.66
117,2020-07-01 00:26:38,-17.99
118,2020-07-01 00:26:38,-17.77
101,2020-07-01 00:28:49,-18.66
102,2020-07-01 00:28:49,-16.44
103,2020-07-01 00:28:49,-16.66
104,2020-07-01 00:28:49,99.99
109,2020-07-01 00:28:49,-16.11
105,2020-07-01 00:28:49,-16.00
106,2020-07-01 00:28:49,-17.11
107,2020-07-01 00:28:49,-17.99
108,2020-07-01 00:28:49,-17.66
110,2020-07-01 00:28:49,-16.55
111,2020-07-01 00:28:49,-16.00
112,2020-07-01 00:28:49,-18.33
113,2020-07-01 00:28:49,-17.66
114,2020-07-01 00:28:49,99.99
115,2020-07-01 00:28:49,-17.33
116,2020-07-01 00:28:49,-16.11
117,2020-07-01 00:28:49,-17.66
118,2020-07-01 00:28:49,-17.11
101,2020-07-01 00:33:15,-19.44
102,2020-07-01 00:33:15,-17.77
104,2020-07-01 00:33:15,99.99
103,2020-07-01 00:33:15,-16.11
106,2020-07-01 00:33:15,-18.33
105,2020-07-01 00:33:15,-17.22
107,2020-07-01 00:33:15,-17.77
108,2020-07-01 00:33:15,-17.11
109,2020-07-01 00:33:15,-17.33
110,2020-07-01 00:33:15,-17.88
111,2020-07-01 00:33:15,-17.44
112,2020-07-01 00:33:15,-19.33
113,2020-07-01 00:33:15,-17.00
114,2020-07-01 00:33:15,99.99
115,2020-07-01 00:33:15,-18.44
116,2020-07-01 00:33:15,-17.44
118,2020-07-01 00:33:15,-18.33
117,2020-07-01 00:33:15,-18.99
101,2020-07-01 00:34:46,-19.33
102,2020-07-01 00:34:46,-17.77
